,ADX,MACD
2020-04-01,38.51180276123628,17.13664916970997
2020-05-01,26.085545407188874,7.898374904354299
2020-06-01,30.07230008276609,-5.774392723390974
2020-07-01,30.87006833095663,11.856940870687154
2020-08-01,36.31019312374197,16.52666086670571
2020-09-01,30.798044973851795,-17.978078731978243
2020-10-01,34.669242323036286,-47.92285283115192
2020-11-01,34.806882791553036,-35.48100186976269
2020-12-01,34.64753518291208,-33.032075257695894
2021-01-01,30.72649665645623,-26.355679232736975
2021-02-01,28.56369864187554,-15.148705267690772
2021-03-01,32.47741584241646,-16.137329712529166
